player,team,location,shot_statsbomb_xg,shot_outcome,shot_technique,shot_body_part,minute,match_id
Mark Anthony Kaye,Canada,"[96.5, 40.7]",0.038882375,Blocked,Normal,Left Foot,2,3857276
Hakim Ziyech,Morocco,"[83.9, 45.0]",0.024477394,Goal,Lob,Left Foot,3,3857276
Abdelhamid Sabiri,Morocco,"[86.8, 38.4]",0.02207015,Blocked,Normal,Right Foot,8,3857276
Sofiane Boufal,Morocco,"[107.0, 48.3]",0.06158555,Wayward,Half Volley,Left Foot,9,3857276
Tajon Buchanan,Canada,"[113.3, 34.9]",0.27914461,Off T,Half Volley,Right Foot,14,3857276
Hakim Ziyech,Morocco,"[97.5, 54.0]",0.022624016,Off T,Normal,Left Foot,15,3857276
Youssef En-Nesyri,Morocco,"[107.6, 53.2]",0.10405799,Goal,Half Volley,Right Foot,22,3857276
Abdelhamid Sabiri,Morocco,"[107.9, 34.2]",0.09711841,Blocked,Normal,Right Foot,32,3857276
Youssef En-Nesyri,Morocco,"[106.8, 46.7]",0.094470315,Wayward,Volley,Right Foot,47,3857276
Alphonso Davies,Canada,"[105.1, 41.2]",0.051903803,Off T,Volley,Left Foot,57,3857276
Atiba Hutchinson,Canada,"[112.2, 37.7]",0.086874224,Post,Normal,Head,70,3857276
Alistair Johnston,Canada,"[118.8, 41.6]",0.638813,Off T,Normal,Head,70,3857276
Harry Maguire,England,"[115.4, 29.4]",0.23307544,Off T,Half Volley,Left Foot,7,3857271
Bukayo Saka,England,"[101.1, 55.3]",0.028282227,Saved,Normal,Left Foot,26,3857271
Mason Mount,England,"[113.4, 49.1]",0.06697492,Off T,Normal,Right Foot,29,3857271
Harry Maguire,England,"[110.5, 40.7]",0.06988547,Post,Normal,Head,31,3857271
Jude Bellingham,England,"[112.0, 38.0]",0.08285139,Goal,Normal,Head,34,3857271
Bukayo Saka,England,"[104.1, 38.5]",0.061030492,Goal,Half Volley,Left Foot,42,3857271
Raheem Sterling,England,"[111.0, 42.8]",0.1885282,Goal,Volley,Right Foot,45,3857271
Alireza Jahanbakhsh,Iran,"[106.4, 48.8]",0.11232807,Off T,Volley,Right Foot,55,3857271
Kieran Trippier,England,"[93.9, 27.7]",0.042866398,Blocked,Normal,Right Foot,50,3857271
Luke Shaw,England,"[97.9, 25.1]",0.021548782,Blocked,Normal,Left Foot,58,3857271
Saeid Ezatolahi Afagh,Iran,"[83.8, 35.5]",0.0065368367,Off T,Normal,Right Foot,60,3857271
Bukayo Saka,England,"[105.3, 46.3]",0.080026746,Goal,Normal,Left Foot,61,3857271
Mehdi Taremi,Iran,"[109.7, 48.0]",0.065701395,Goal,Normal,Right Foot,64,3857271
Mehdi Torabi,Iran,"[103.5, 32.3]",0.045791544,Blocked,Normal,Right Foot,69,3857271
Ahmad Nourollahi,Iran,"[97.8, 34.8]",0.028478073,Off T,Volley,Left Foot,69,3857271
Marcus Rashford,England,"[109.7, 47.7]",0.40810898,Goal,Normal,Left Foot,70,3857271
Mehdi Taremi,Iran,"[105.1, 54.6]",0.06202265,Off T,Half Volley,Right Foot,76,3857271
Marcus Rashford,England,"[108.6, 50.7]",0.0776978,Blocked,Normal,Left Foot,83,3857271
Jack Grealish,England,"[112.0, 39.9]",0.6262809,Goal,Normal,Right Foot,89,3857271
Sardar Azmoun,Iran,"[110.9, 30.5]",0.35130003,Saved to Post,Normal,Right Foot,97,3857271
