group,position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
GROUP_A,1,Mexico,3,3,0,0,6,0,6,9
GROUP_A,2,South Africa,3,1,1,1,2,3,-1,4
GROUP_A,3,South Korea,3,1,0,2,2,3,-1,3
GROUP_A,4,Czechia,3,0,1,2,2,6,-4,1
GROUP_B,1,Switzerland,3,2,1,0,7,3,4,7
GROUP_B,2,Canada,3,1,1,1,8,3,5,4
GROUP_B,3,Bosnia-Herzegovina,3,1,1,1,5,6,-1,4
GROUP_B,4,Qatar,3,0,1,2,2,10,-8,1
GROUP_C,1,Brazil,3,2,1,0,7,1,6,7
GROUP_C,2,Morocco,3,2,1,0,6,3,3,7
GROUP_C,3,Scotland,3,1,0,2,1,4,-3,3
GROUP_C,4,Haiti,3,0,0,3,2,8,-6,0
GROUP_D,1,United States,3,2,0,1,8,4,4,6
GROUP_D,2,Australia,3,1,1,1,2,2,0,4
GROUP_D,3,Paraguay,3,1,1,1,2,4,-2,4
GROUP_D,4,Turkey,3,1,0,2,3,5,-2,3
GROUP_E,1,Germany,3,2,0,1,10,4,6,6
GROUP_E,2,Ivory Coast,3,2,0,1,4,2,2,6
GROUP_E,3,Ecuador,3,1,1,1,2,2,0,4
GROUP_E,4,Curaçao,3,0,1,2,1,9,-8,1
GROUP_F,1,Netherlands,3,2,1,0,10,4,6,7
GROUP_F,2,Japan,3,1,2,0,7,3,4,5
GROUP_F,3,Sweden,3,1,1,1,7,7,0,4
GROUP_F,4,Tunisia,3,0,0,3,2,12,-10,0
GROUP_G,1,Belgium,3,1,2,0,6,2,4,5
GROUP_G,2,Egypt,3,1,2,0,5,3,2,5
GROUP_G,3,Iran,3,0,3,0,3,3,0,3
GROUP_G,4,New Zealand,3,0,1,2,4,10,-6,1
GROUP_H,1,Spain,3,2,1,0,5,0,5,7
GROUP_H,2,Cape Verde Islands,3,0,3,0,2,2,0,3
GROUP_H,3,Uruguay,3,0,2,1,3,4,-1,2
GROUP_H,4,Saudi Arabia,3,0,2,1,1,5,-4,2
GROUP_I,1,France,3,3,0,0,10,2,8,9
GROUP_I,2,Norway,3,2,0,1,8,7,1,6
GROUP_I,3,Senegal,3,1,0,2,8,6,2,3
GROUP_I,4,Iraq,3,0,0,3,1,12,-11,0
GROUP_J,1,Argentina,3,3,0,0,8,1,7,9
GROUP_J,2,Austria,3,1,1,1,6,6,0,4
GROUP_J,3,Algeria,3,1,1,1,5,7,-2,4
GROUP_J,4,Jordan,3,0,0,3,3,8,-5,0
GROUP_K,1,Colombia,3,2,1,0,4,1,3,7
GROUP_K,2,Portugal,3,1,2,0,6,1,5,5
GROUP_K,3,Congo DR,3,1,1,1,4,3,1,4
GROUP_K,4,Uzbekistan,3,0,0,3,2,11,-9,0
GROUP_L,1,England,3,2,1,0,6,2,4,7
GROUP_L,2,Croatia,3,2,0,1,5,5,0,6
GROUP_L,3,Ghana,3,1,1,1,2,2,0,4
GROUP_L,4,Panama,3,0,0,3,0,4,-4,0
