team,total_xg_for,total_xg_against,actual_goals,xg_overperformance,xg_per_shot,shots_taken
Canada,3.93,3.71,1,-2.93,0.1122,35
Morocco,8.68,9.03,9,0.32,0.1315,66
England,8.74,3.99,13,4.26,0.1387,63
Iran,3.83,3.77,4,0.17,0.1161,33
Croatia,13.17,15.04,15,1.83,0.1514,87
Belgium,3.69,4.23,1,-2.69,0.1056,35
Netherlands,8.91,10.0,13,4.09,0.1857,48
Ecuador,3.81,2.12,4,0.19,0.1269,30
Spain,7.1,6.01,9,1.9,0.1393,51
Japan,7.38,7.81,6,-1.38,0.1538,48
United States,3.94,4.26,3,-0.94,0.0856,46
Wales,2.22,4.97,1,-1.22,0.0925,24
France,14.96,12.58,18,3.04,0.1411,106
Tunisia,2.41,2.4,1,-1.41,0.0753,32
Cameroon,3.07,5.54,4,0.93,0.1095,28
Switzerland,6.09,5.01,5,-1.09,0.1646,37
Portugal,7.31,5.64,12,4.69,0.1108,66
Ghana,3.35,5.1,5,1.65,0.1341,25
Senegal,4.27,4.11,5,0.73,0.0855,50
Saudi Arabia,3.2,6.55,3,-0.2,0.1067,30
Poland,4.66,6.7,3,-1.66,0.1504,31
Qatar,1.41,3.77,1,-0.41,0.0704,20
Denmark,3.19,3.46,1,-2.19,0.0912,35
Germany,8.23,2.92,6,-2.23,0.121,68
Mexico,3.06,2.54,2,-1.06,0.0746,41
Brazil,13.64,4.95,10,-3.64,0.1377,99
Argentina,20.99,11.29,23,2.01,0.1908,110
Costa Rica,1.23,5.09,2,0.77,0.1122,11
Serbia,3.09,7.3,5,1.91,0.0966,32
Australia,1.58,6.44,3,1.42,0.0607,26
Uruguay,3.27,3.1,2,-1.27,0.0991,33
South Korea,3.6,5.83,5,1.4,0.0751,48
